Time,Outer_Coil_Voltage,Outer_Coil_STDV,Inner_Coil_Voltage,Inner_Coil_STDV
8.210100E+1,1.456118E+0,NaN,-1.943000E-6,NaN
8.297200E+1,1.456136E+0,NaN,-1.681000E-6,NaN
8.384400E+1,1.456162E+0,NaN,-2.277000E-6,NaN
8.471500E+1,1.456191E+0,NaN,-1.880000E-6,NaN
8.558600E+1,1.447527E+0,NaN,-3.029000E-6,NaN
8.645700E+1,1.420638E+0,NaN,-3.384000E-6,NaN
8.733000E+1,1.393980E+0,NaN,-3.206000E-6,NaN
8.820100E+1,1.367474E+0,NaN,-3.363000E-6,NaN
8.907200E+1,1.341058E+0,NaN,-3.185000E-6,NaN
8.994400E+1,1.314729E+0,NaN,-3.060000E-6,NaN
9.081500E+1,1.288463E+0,NaN,-2.694000E-6,NaN
9.168600E+1,1.262265E+0,NaN,-3.154000E-6,NaN
9.255700E+1,1.236115E+0,NaN,-3.029000E-6,NaN
9.342800E+1,1.209995E+0,NaN,-3.279000E-6,NaN
9.430000E+1,1.183917E+0,NaN,-2.830000E-6,NaN
9.517100E+1,1.157863E+0,NaN,-3.175000E-6,NaN
9.604200E+1,1.131835E+0,NaN,-3.363000E-6,NaN
9.691400E+1,1.105844E+0,NaN,-3.070000E-6,NaN
9.778500E+1,1.079867E+0,NaN,-3.217000E-6,NaN
9.865600E+1,1.053911E+0,NaN,-3.123000E-6,NaN
9.952800E+1,1.027979E+0,NaN,-3.258000E-6,NaN
1.003990E+2,9.958681E-1,NaN,-1.885900E-4,NaN
1.014770E+2,9.699892E-1,NaN,-8.585700E-5,NaN
1.023480E+2,9.441143E-1,NaN,-2.408300E-5,NaN
1.032200E+2,9.182508E-1,NaN,4.982000E-6,NaN
1.040910E+2,8.924034E-1,NaN,1.174900E-5,NaN
1.049630E+2,8.665668E-1,NaN,1.120600E-5,NaN
1.058350E+2,8.407391E-1,NaN,-2.987000E-6,NaN
1.067060E+2,8.149340E-1,NaN,-8.950000E-6,NaN
1.075770E+2,7.891321E-1,NaN,-9.587000E-6,NaN
1.084480E+2,7.633429E-1,NaN,-8.418000E-6,NaN
1.093190E+2,7.375734E-1,NaN,-4.982000E-6,NaN
1.101910E+2,7.118112E-1,NaN,-4.230000E-6,NaN
1.110620E+2,6.860567E-1,NaN,-1.055000E-6,NaN
1.119330E+2,6.603078E-1,NaN,8.040000E-7,NaN
1.128040E+2,6.345734E-1,NaN,1.358000E-6,NaN
1.136750E+2,6.088475E-1,NaN,2.151000E-6,NaN
1.145470E+2,5.831239E-1,NaN,3.384000E-6,NaN
1.154180E+2,5.574055E-1,NaN,3.833000E-6,NaN
1.162900E+2,5.316993E-1,NaN,5.953000E-6,NaN
1.171610E+2,5.059957E-1,NaN,7.311000E-6,NaN
1.180320E+2,4.803140E-1,NaN,8.000000E-6,NaN
1.189030E+2,4.546391E-1,NaN,1.017200E-5,NaN
1.197740E+2,4.289690E-1,NaN,1.044400E-5,NaN
1.206460E+2,4.033010E-1,NaN,1.007800E-5,NaN
1.215170E+2,3.776439E-1,NaN,1.169700E-5,NaN
1.223900E+2,3.519850E-1,NaN,1.314800E-5,NaN
1.232610E+2,3.263448E-1,NaN,1.503900E-5,NaN
1.241320E+2,3.007127E-1,NaN,1.399400E-5,NaN
1.250040E+2,2.750857E-1,NaN,1.558200E-5,NaN
1.258750E+2,2.494679E-1,NaN,1.590600E-5,NaN
1.267460E+2,2.238648E-1,NaN,1.638600E-5,NaN
1.276170E+2,1.982682E-1,NaN,1.522700E-5,NaN
1.284890E+2,1.726816E-1,NaN,1.566500E-5,NaN
1.293600E+2,1.471010E-1,NaN,1.653200E-5,NaN
1.302310E+2,1.215367E-1,NaN,1.622900E-5,NaN
1.311020E+2,6.979174E-2,NaN,8.386000E-6,NaN
1.320390E+2,4.972507E-2,NaN,1.047500E-5,NaN
1.329100E+2,3.108583E-2,NaN,1.117500E-5,NaN
1.337820E+2,2.076593E-3,NaN,1.113300E-5,NaN
1.347040E+2,-2.265038E-4,NaN,-3.895000E-6,NaN
1.355800E+2,-2.866891E-4,NaN,-3.425000E-6,NaN
1.364510E+2,-3.070772E-4,NaN,-3.248000E-6,NaN
1.373230E+2,-3.128344E-4,NaN,-2.632000E-6,NaN
1.381940E+2,-3.169229E-4,NaN,-2.663000E-6,NaN
1.390660E+2,-3.200804E-4,NaN,-2.444000E-6,NaN
1.399380E+2,-3.226845E-4,NaN,-2.642000E-6,NaN
1.408090E+2,-3.247764E-4,NaN,-2.454000E-6,NaN
1.416810E+2,-3.268315E-4,NaN,-2.653000E-6,NaN
1.425520E+2,-3.280620E-4,NaN,-2.506000E-6,NaN
1.434230E+2,-3.288562E-4,NaN,-2.538000E-6,NaN
1.442940E+2,-3.301105E-4,NaN,-2.538000E-6,NaN
1.451660E+2,-3.310784E-4,NaN,-2.621000E-6,NaN
1.460370E+2,-3.320549E-4,NaN,-2.402000E-6,NaN
