Time,Outer_Coil_Voltage,Outer_Coil_STDV,Inner_Coil_Voltage,Inner_Coil_STDV
0.000000E+0,-3.407049E-4,NaN,-9.138000E-6,NaN
8.710000E-1,-3.409436E-4,NaN,-9.451000E-6,NaN
1.746000E+0,-3.408308E-4,NaN,-9.378000E-6,NaN
2.617000E+0,-3.412670E-4,NaN,-9.420000E-6,NaN
3.488000E+0,-3.413559E-4,NaN,-9.733000E-6,NaN
4.359000E+0,-3.414731E-4,NaN,-9.514000E-6,NaN
5.232000E+0,-3.094252E-4,NaN,-9.431000E-6,NaN
6.103000E+0,7.026464E-4,NaN,-2.403100E-5,NaN
6.975000E+0,2.010491E-2,NaN,-2.412500E-5,NaN
7.892000E+0,3.874127E-2,NaN,-2.429200E-5,NaN
8.764000E+0,5.732312E-2,NaN,-2.455300E-5,NaN
9.634000E+0,7.585810E-2,NaN,-2.429200E-5,NaN
1.050500E+1,9.436135E-2,NaN,-2.414600E-5,NaN
1.137700E+1,1.128391E-1,NaN,-2.439600E-5,NaN
1.224800E+1,1.763626E-1,NaN,-2.960800E-5,NaN
1.318400E+1,2.066363E-1,NaN,-2.979600E-5,NaN
1.405600E+1,2.318509E-1,NaN,-2.961800E-5,NaN
1.492700E+1,2.570299E-1,NaN,-2.986900E-5,NaN
1.579800E+1,2.821783E-1,NaN,-2.979600E-5,NaN
1.666900E+1,3.072933E-1,NaN,-2.958700E-5,NaN
1.754000E+1,3.323809E-1,NaN,-2.959700E-5,NaN
1.841200E+1,3.574493E-1,NaN,-2.985800E-5,NaN
1.928300E+1,3.824931E-1,NaN,-2.966000E-5,NaN
2.015400E+1,4.075094E-1,NaN,-2.975400E-5,NaN
2.102500E+1,4.325029E-1,NaN,-2.937800E-5,NaN
2.189600E+1,4.574641E-1,NaN,-2.922100E-5,NaN
2.276900E+1,4.824067E-1,NaN,-2.978500E-5,NaN
2.364000E+1,5.073234E-1,NaN,-2.952400E-5,NaN
2.451100E+1,5.322184E-1,NaN,-2.946100E-5,NaN
2.538300E+1,5.570982E-1,NaN,-2.957600E-5,NaN
2.625400E+1,5.819510E-1,NaN,-2.928400E-5,NaN
2.712500E+1,6.067823E-1,NaN,-2.951400E-5,NaN
2.799600E+1,6.316035E-1,NaN,-2.936700E-5,NaN
2.886700E+1,6.564038E-1,NaN,-2.929400E-5,NaN
2.973800E+1,6.811960E-1,NaN,-2.944000E-5,NaN
3.060900E+1,7.059749E-1,NaN,-2.961800E-5,NaN
3.148000E+1,7.307343E-1,NaN,-2.986900E-5,NaN
3.235100E+1,7.554842E-1,NaN,-2.947200E-5,NaN
3.322200E+1,7.802059E-1,NaN,-2.953400E-5,NaN
3.409300E+1,8.049222E-1,NaN,-2.943000E-5,NaN
3.496400E+1,8.296174E-1,NaN,-2.957600E-5,NaN
3.583600E+1,8.543106E-1,NaN,-2.917900E-5,NaN
3.670700E+1,8.789743E-1,NaN,-2.902300E-5,NaN
3.757800E+1,9.036240E-1,NaN,-2.840700E-5,NaN
3.844900E+1,9.282575E-1,NaN,-2.749800E-5,NaN
3.932000E+1,9.528540E-1,NaN,-2.621300E-5,NaN
4.019300E+1,9.774518E-1,NaN,-2.374900E-5,NaN
4.106400E+1,1.002046E+0,NaN,-1.775400E-5,NaN
4.193500E+1,1.026619E+0,NaN,-7.436000E-6,NaN
4.280600E+1,1.051157E+0,NaN,1.062100E-5,NaN
4.367700E+1,1.075686E+0,NaN,2.045900E-5,NaN
4.454800E+1,1.100195E+0,NaN,1.892400E-5,NaN
4.541900E+1,1.124685E+0,NaN,1.390000E-5,NaN
4.629000E+1,1.149140E+0,NaN,9.953000E-6,NaN
4.716100E+1,1.173574E+0,NaN,7.143000E-6,NaN
4.803200E+1,1.197993E+0,NaN,4.856000E-6,NaN
4.890300E+1,1.223769E+0,NaN,3.008000E-6,NaN
4.982100E+1,1.248143E+0,NaN,1.713000E-6,NaN
5.069300E+1,1.272504E+0,NaN,9.290000E-7,NaN
5.156400E+1,1.296819E+0,NaN,3.340000E-7,NaN
5.243500E+1,1.321126E+0,NaN,-3.100000E-8,NaN
5.330700E+1,1.345390E+0,NaN,-8.670000E-7,NaN
5.417800E+1,1.369614E+0,NaN,-1.170000E-6,NaN
5.504900E+1,1.393811E+0,NaN,-1.556000E-6,NaN
5.592100E+1,1.417952E+0,NaN,-1.483000E-6,NaN
5.679200E+1,1.442051E+0,NaN,-2.632000E-6,NaN
5.766400E+1,1.456409E+0,NaN,-1.010900E-5,NaN
5.853600E+1,1.456364E+0,NaN,-9.963000E-6,NaN
5.940700E+1,1.456333E+0,NaN,-1.007800E-5,NaN
