Time,Outer_Coil_Voltage,Outer_Coil_STDV,Inner_Coil_Voltage,Inner_Coil_STDV
0.000000E+0,-3.434392E-4,NaN,-1.016200E-5,NaN
8.710000E-1,-3.436150E-4,NaN,-1.052700E-5,NaN
1.742000E+0,-3.436975E-4,NaN,-1.056900E-5,NaN
2.614000E+0,-3.439123E-4,NaN,-1.049600E-5,NaN
3.486000E+0,-3.437995E-4,NaN,-1.049600E-5,NaN
4.357000E+0,-3.439362E-4,NaN,-1.006800E-5,NaN
5.229000E+0,-3.434957E-4,NaN,-1.070500E-5,NaN
6.100000E+0,-3.437192E-4,NaN,-1.023500E-5,NaN
6.972000E+0,-3.434761E-4,NaN,-1.055800E-5,NaN
7.843000E+0,-3.437300E-4,NaN,-1.049600E-5,NaN
8.715000E+0,-3.438863E-4,NaN,-1.084000E-5,NaN
9.586000E+0,-3.438081E-4,NaN,-1.071500E-5,NaN
1.045800E+1,-3.437452E-4,NaN,-1.055800E-5,NaN
1.132900E+1,-3.440686E-4,NaN,-1.065200E-5,NaN
1.220000E+1,-3.439774E-4,NaN,-1.068400E-5,NaN
1.307200E+1,-3.440620E-4,NaN,-1.077800E-5,NaN
1.394300E+1,-3.442118E-4,NaN,-1.053800E-5,NaN
1.481400E+1,-3.442769E-4,NaN,-1.073600E-5,NaN
1.568600E+1,-3.443637E-4,NaN,-1.059000E-5,NaN
1.655700E+1,-3.444440E-4,NaN,-1.062100E-5,NaN
1.742800E+1,-2.996381E-4,NaN,-1.464200E-5,NaN
1.830000E+1,8.026109E-3,NaN,-2.543000E-5,NaN
1.917100E+1,2.766693E-2,NaN,-2.568100E-5,NaN
2.008900E+1,4.623408E-2,NaN,-2.531500E-5,NaN
2.096100E+1,6.475759E-2,NaN,-2.556600E-5,NaN
2.183200E+1,8.323710E-2,NaN,-2.537800E-5,NaN
2.270300E+1,1.016840E-1,NaN,-2.556600E-5,NaN
2.357400E+1,1.642996E-1,NaN,-3.075600E-5,NaN
2.461100E+1,1.941956E-1,NaN,-3.078800E-5,NaN
2.548200E+1,2.193712E-1,NaN,-3.074600E-5,NaN
2.635400E+1,2.445112E-1,NaN,-3.062100E-5,NaN
2.722500E+1,2.696179E-1,NaN,-3.078800E-5,NaN
2.809600E+1,2.947029E-1,NaN,-3.085000E-5,NaN
2.896800E+1,3.197576E-1,NaN,-3.075600E-5,NaN
2.983900E+1,3.447899E-1,NaN,-3.054700E-5,NaN
3.071000E+1,3.697946E-1,NaN,-3.063100E-5,NaN
3.158100E+1,3.947690E-1,NaN,-3.068300E-5,NaN
3.245300E+1,4.322777E-1,NaN,-3.090300E-5,NaN
3.332700E+1,4.448670E-1,NaN,-3.058900E-5,NaN
3.420300E+1,4.697716E-1,NaN,-3.024500E-5,NaN
3.507400E+1,4.946480E-1,NaN,-3.037000E-5,NaN
3.594500E+1,5.194985E-1,NaN,-3.052700E-5,NaN
3.681600E+1,5.443257E-1,NaN,-3.034900E-5,NaN
3.768800E+1,5.691251E-1,NaN,-3.040100E-5,NaN
3.856000E+1,5.939099E-1,NaN,-3.031800E-5,NaN
3.943100E+1,6.186784E-1,NaN,-3.051600E-5,NaN
4.030200E+1,6.434365E-1,NaN,-3.029700E-5,NaN
4.117300E+1,6.681865E-1,NaN,-3.046400E-5,NaN
4.204400E+1,6.929152E-1,NaN,-3.055800E-5,NaN
4.291500E+1,7.176373E-1,NaN,-3.041200E-5,NaN
4.378600E+1,7.423353E-1,NaN,-3.010900E-5,NaN
4.465700E+1,7.670265E-1,NaN,-3.030700E-5,NaN
4.552800E+1,7.917048E-1,NaN,-3.010900E-5,NaN
4.640000E+1,8.163686E-1,NaN,-3.025500E-5,NaN
4.727100E+1,8.410185E-1,NaN,-3.048500E-5,NaN
4.814200E+1,8.656526E-1,NaN,-3.049500E-5,NaN
4.901300E+1,8.902704E-1,NaN,-2.980600E-5,NaN
4.988500E+1,9.148704E-1,NaN,-2.937800E-5,NaN
5.075600E+1,9.394570E-1,NaN,-2.907500E-5,NaN
5.162700E+1,9.640147E-1,NaN,-2.786300E-5,NaN
5.249800E+1,9.885537E-1,NaN,-2.647400E-5,NaN
5.337000E+1,1.013098E+0,NaN,-2.383200E-5,NaN
5.424100E+1,1.037639E+0,NaN,-1.740900E-5,NaN
5.511200E+1,1.062138E+0,NaN,-5.723000E-6,NaN
5.598400E+1,1.086606E+0,NaN,1.202100E-5,NaN
5.685500E+1,1.111065E+0,NaN,2.072000E-5,NaN
5.772600E+1,1.135490E+0,NaN,1.889200E-5,NaN
5.859700E+1,1.159892E+0,NaN,1.320100E-5,NaN
5.946800E+1,1.184273E+0,NaN,9.190000E-6,NaN
6.033900E+1,1.210015E+0,NaN,6.130000E-6,NaN
6.125700E+1,1.234356E+0,NaN,3.948000E-6,NaN
6.212900E+1,1.258674E+0,NaN,2.611000E-6,NaN
6.300000E+1,1.282968E+0,NaN,1.431000E-6,NaN
6.387100E+1,1.307240E+0,NaN,3.970000E-7,NaN
6.474300E+1,1.331478E+0,NaN,-4.200000E-8,NaN
6.561400E+1,1.355680E+0,NaN,-9.610000E-7,NaN
6.648500E+1,1.379858E+0,NaN,-1.305000E-6,NaN
6.735600E+1,1.403985E+0,NaN,-1.775000E-6,NaN
6.822800E+1,1.428056E+0,NaN,-1.911000E-6,NaN
6.909900E+1,1.452065E+0,NaN,-1.107000E-5,NaN
6.997000E+1,1.455748E+0,NaN,-1.069400E-5,NaN
7.084200E+1,1.455885E+0,NaN,-1.089300E-5,NaN
7.171300E+1,1.455836E+0,NaN,-1.083000E-5,NaN
7.258500E+1,1.455767E+0,NaN,-1.075700E-5,NaN
7.345700E+1,1.455783E+0,NaN,-1.062100E-5,NaN
7.432900E+1,1.455716E+0,NaN,-1.104900E-5,NaN
7.520000E+1,1.455686E+0,NaN,-1.079900E-5,NaN
7.607100E+1,1.455637E+0,NaN,-1.075700E-5,NaN
7.694300E+1,1.455624E+0,NaN,-1.079900E-5,NaN
7.781400E+1,1.455616E+0,NaN,-1.101800E-5,NaN
7.868600E+1,1.455582E+0,NaN,-1.078800E-5,NaN
7.955700E+1,1.455567E+0,NaN,-1.056900E-5,NaN
8.042800E+1,1.455542E+0,NaN,-1.122700E-5,NaN
8.130000E+1,1.455555E+0,NaN,-1.053800E-5,NaN
8.217100E+1,1.455612E+0,NaN,-1.062100E-5,NaN
8.304200E+1,1.455571E+0,NaN,-1.082000E-5,NaN
8.391400E+1,1.455543E+0,NaN,-6.057000E-6,NaN
8.478500E+1,1.443928E+0,NaN,-2.663000E-6,NaN
8.565600E+1,1.417181E+0,NaN,-1.027600E-5,NaN
8.652700E+1,1.390632E+0,NaN,-1.292900E-5,NaN
8.739800E+1,1.364214E+0,NaN,-1.425500E-5,NaN
8.826900E+1,1.337884E+0,NaN,-1.441200E-5,NaN
8.914100E+1,1.311632E+0,NaN,-1.408800E-5,NaN
9.001200E+1,1.285438E+0,NaN,-1.339900E-5,NaN
