Time,Outer_Coil_Voltage,Outer_Coil_STDV,Inner_Coil_Voltage,Inner_Coil_STDV
0.000000E+0,-3.450625E-4,NaN,-1.890000E-6,NaN
1.131000E+0,-3.452534E-4,NaN,-2.036000E-6,NaN
2.002000E+0,-3.451623E-4,NaN,-1.963000E-6,NaN
2.873000E+0,-3.450603E-4,NaN,-1.692000E-6,NaN
3.744000E+0,-3.023898E-4,NaN,-2.016000E-6,NaN
4.616000E+0,6.410048E-3,NaN,-1.960300E-5,NaN
5.487000E+0,2.605213E-2,NaN,-1.943600E-5,NaN
6.405000E+0,4.462261E-2,NaN,-1.942500E-5,NaN
7.276000E+0,6.314418E-2,NaN,-1.944600E-5,NaN
8.147000E+0,8.163164E-2,NaN,-1.906000E-5,NaN
9.018000E+0,1.000834E-1,NaN,-1.917400E-5,NaN
9.889000E+0,1.185013E-1,NaN,-1.925800E-5,NaN
1.076000E+1,1.838460E-1,NaN,-2.562900E-5,NaN
1.169700E+1,2.142742E-1,NaN,-2.573300E-5,NaN
1.256800E+1,2.394132E-1,NaN,-2.571200E-5,NaN
1.343900E+1,2.645178E-1,NaN,-2.562900E-5,NaN
1.431000E+1,2.896072E-1,NaN,-2.620300E-5,NaN
1.518100E+1,3.146701E-1,NaN,-2.553500E-5,NaN
1.605300E+1,3.397035E-1,NaN,-2.579600E-5,NaN
1.692400E+1,3.646974E-1,NaN,-2.554500E-5,NaN
1.779600E+1,3.896871E-1,NaN,-2.587900E-5,NaN
1.866700E+1,4.146408E-1,NaN,-2.562900E-5,NaN
1.953800E+1,4.395716E-1,NaN,-2.571200E-5,NaN
2.041000E+1,4.644775E-1,NaN,-2.550300E-5,NaN
2.128100E+1,4.893653E-1,NaN,-2.533600E-5,NaN
2.215300E+1,5.142248E-1,NaN,-2.543000E-5,NaN
2.302400E+1,5.390549E-1,NaN,-2.576400E-5,NaN
2.389600E+1,5.638598E-1,NaN,-2.579600E-5,NaN
2.476700E+1,5.886492E-1,NaN,-2.524200E-5,NaN
2.563800E+1,6.134118E-1,NaN,-2.535700E-5,NaN
2.650900E+1,6.381547E-1,NaN,-2.511700E-5,NaN
2.738100E+1,6.628907E-1,NaN,-2.492900E-5,NaN
2.825200E+1,6.876202E-1,NaN,-2.383200E-5,NaN
2.912300E+1,7.123402E-1,NaN,-2.406200E-5,NaN
2.999500E+1,7.370466E-1,NaN,-2.310100E-5,NaN
3.086600E+1,7.617438E-1,NaN,-2.182700E-5,NaN
3.173700E+1,7.864277E-1,NaN,-2.004100E-5,NaN
3.260800E+1,8.111036E-1,NaN,-1.820300E-5,NaN
3.348100E+1,8.357655E-1,NaN,-1.575900E-5,NaN
3.435200E+1,8.604188E-1,NaN,-1.113300E-5,NaN
3.522300E+1,8.850481E-1,NaN,-5.190000E-6,NaN
3.609400E+1,9.096573E-1,NaN,8.658000E-6,NaN
3.696500E+1,9.342469E-1,NaN,3.715800E-5,NaN
3.783600E+1,9.588178E-1,NaN,1.579280E-4,NaN
3.870700E+1,9.833453E-1,NaN,3.173800E-4,NaN
3.957800E+1,1.007895E+0,NaN,1.999010E-4,NaN
4.044900E+1,1.032432E+0,NaN,-7.410000E-7,NaN
4.132000E+1,1.056935E+0,NaN,-8.150000E-7,NaN
