Time,Outer_Coil_Voltage,Outer_Coil_STDV,Inner_Coil_Voltage,Inner_Coil_STDV
0.000000E+0,-3.392054E-4,NaN,-8.981000E-6,NaN
8.710000E-1,-3.395483E-4,NaN,-9.253000E-6,NaN
1.743000E+0,-3.394202E-4,NaN,-9.263000E-6,NaN
2.614000E+0,-3.396871E-4,NaN,-8.992000E-6,NaN
3.486000E+0,-3.398542E-4,NaN,-8.908000E-6,NaN
4.358000E+0,-2.997857E-4,NaN,-8.867000E-6,NaN
5.229000E+0,4.401920E-3,NaN,-2.379000E-5,NaN
6.100000E+0,2.412753E-2,NaN,-2.383200E-5,NaN
7.018000E+0,4.277040E-2,NaN,-2.370700E-5,NaN
7.889000E+0,6.136191E-2,NaN,-2.345600E-5,NaN
8.760000E+0,7.991376E-2,NaN,-2.340400E-5,NaN
9.632000E+0,9.843038E-2,NaN,-2.385300E-5,NaN
1.050300E+1,1.169184E-1,NaN,-2.352900E-5,NaN
1.137400E+1,1.818383E-1,NaN,-2.934600E-5,NaN
1.231000E+1,2.122721E-1,NaN,-2.887700E-5,NaN
1.318200E+1,2.374941E-1,NaN,-2.886600E-5,NaN
1.405300E+1,2.626853E-1,NaN,-2.889700E-5,NaN
1.492400E+1,2.878456E-1,NaN,-2.898100E-5,NaN
1.579500E+1,3.129738E-1,NaN,-2.913800E-5,NaN
1.666600E+1,3.380760E-1,NaN,-2.849000E-5,NaN
1.753800E+1,3.631600E-1,NaN,-2.890800E-5,NaN
1.840900E+1,3.882145E-1,NaN,-2.937800E-5,NaN
1.928000E+1,4.132429E-1,NaN,-2.897000E-5,NaN
2.015100E+1,4.382449E-1,NaN,-2.868900E-5,NaN
2.102300E+1,4.632214E-1,NaN,-2.893900E-5,NaN
2.189400E+1,4.881695E-1,NaN,-2.910600E-5,NaN
2.276500E+1,5.130900E-1,NaN,-2.872000E-5,NaN
2.363600E+1,5.379940E-1,NaN,-2.904400E-5,NaN
2.450800E+1,5.628795E-1,NaN,-2.886600E-5,NaN
2.537900E+1,5.877434E-1,NaN,-2.886600E-5,NaN
2.625000E+1,6.125886E-1,NaN,-2.925200E-5,NaN
2.712100E+1,6.374198E-1,NaN,-2.874100E-5,NaN
2.799200E+1,6.622343E-1,NaN,-2.857400E-5,NaN
2.886300E+1,6.870461E-1,NaN,-2.813500E-5,NaN
2.973400E+1,7.118370E-1,NaN,-2.872000E-5,NaN
3.060600E+1,7.366171E-1,NaN,-2.900200E-5,NaN
3.147700E+1,7.613796E-1,NaN,-2.852100E-5,NaN
3.234800E+1,7.861259E-1,NaN,-2.876200E-5,NaN
3.321900E+1,8.108513E-1,NaN,-2.907500E-5,NaN
3.409100E+1,8.355675E-1,NaN,-2.877200E-5,NaN
3.496200E+1,8.602585E-1,NaN,-2.840700E-5,NaN
3.583300E+1,8.849397E-1,NaN,-2.851100E-5,NaN
3.670400E+1,9.095953E-1,NaN,-2.870900E-5,NaN
3.757600E+1,9.342373E-1,NaN,-2.812500E-5,NaN
3.844800E+1,9.588635E-1,NaN,-2.725800E-5,NaN
3.932000E+1,9.834488E-1,NaN,-2.632800E-5,NaN
4.019100E+1,1.008051E+0,NaN,-2.448000E-5,NaN
4.106200E+1,1.032647E+0,NaN,-2.093900E-5,NaN
4.193300E+1,1.057214E+0,NaN,-1.394200E-5,NaN
4.280400E+1,1.081731E+0,NaN,-2.100000E-8,NaN
4.367500E+1,1.106235E+0,NaN,1.657400E-5,NaN
4.454600E+1,1.130714E+0,NaN,2.209900E-5,NaN
4.541700E+1,1.155173E+0,NaN,1.805700E-5,NaN
4.628800E+1,1.179609E+0,NaN,1.362900E-5,NaN
4.715900E+1,1.205404E+0,NaN,9.713000E-6,NaN
4.807700E+1,1.229802E+0,NaN,6.454000E-6,NaN
4.894800E+1,1.254168E+0,NaN,5.055000E-6,NaN
4.982000E+1,1.278514E+0,NaN,3.384000E-6,NaN
5.069100E+1,1.302836E+0,NaN,2.214000E-6,NaN
5.156200E+1,1.327122E+0,NaN,1.264000E-6,NaN
5.243300E+1,1.351386E+0,NaN,1.076000E-6,NaN
5.330500E+1,1.375610E+0,NaN,1.000000E-8,NaN
