Time,Outer_Coil_Voltage,Resistance
0.000000E+0,-3.455247E-4,1.412076E+0
8.710000E-1,-3.454292E-4,1.411614E+0
1.742000E+0,-3.455030E-4,1.411320E+0
2.613000E+0,-3.455204E-4,1.411089E+0
3.484000E+0,-3.454509E-4,1.410816E+0
4.354000E+0,-3.456874E-4,1.410595E+0
5.225000E+0,-3.401841E-4,1.410889E+0
6.097000E+0,-2.971598E-4,1.410070E+0
6.967000E+0,1.523601E-2,1.406720E+0
8.025000E+0,3.377265E-2,1.404546E+0
8.896000E+0,5.225499E-2,1.403633E+0
9.766000E+0,7.069067E-2,1.402929E+0
1.063700E+1,8.909472E-2,1.402656E+0
1.150700E+1,1.074657E-1,1.403265E+0
1.237700E+1,1.690837E-1,1.411604E+0
1.331400E+1,1.990190E-1,1.416676E+0
1.418400E+1,2.240887E-1,1.420982E+0
1.505500E+1,2.491330E-1,1.427052E+0
1.592500E+1,2.741460E-1,1.433374E+0
1.679600E+1,2.991429E-1,1.438310E+0
1.766700E+1,3.241160E-1,1.445777E+0
1.853800E+1,3.490673E-1,1.453465E+0
1.940900E+1,3.739752E-1,1.461246E+0
2.027900E+1,3.988771E-1,1.472809E+0
2.115000E+1,4.237501E-1,1.495210E+0
2.202200E+1,4.485973E-1,1.547678E+0
2.289200E+1,4.734178E-1,1.698749E+0
2.376400E+1,4.982083E-1,2.100546E+0
2.463500E+1,5.229790E-1,2.818473E+0
2.550600E+1,5.477281E-1,3.542417E+0
2.637700E+1,5.724537E-1,4.022830E+0
2.724800E+1,5.971475E-1,4.307195E+0
2.811800E+1,6.218330E-1,4.494939E+0
2.898900E+1,6.465005E-1,4.639321E+0
2.986000E+1,6.711582E-1,4.764767E+0
3.073000E+1,6.958064E-1,4.871667E+0
3.160100E+1,7.204380E-1,4.964105E+0
3.247100E+1,7.450573E-1,5.046042E+0
3.334200E+1,7.696525E-1,5.117560E+0
3.421300E+1,7.942358E-1,5.178587E+0
3.508300E+1,8.187927E-1,5.232305E+0
3.595400E+1,8.433178E-1,5.274555E+0
3.682400E+1,8.678310E-1,5.305157E+0
3.769500E+1,8.923009E-1,5.315103E+0
3.856500E+1,9.167769E-1,5.332494E+0
3.943600E+1,9.412395E-1,5.360314E+0
4.030700E+1,9.656671E-1,5.388732E+0
4.117800E+1,9.900587E-1,5.415061E+0
4.204900E+1,1.014440E+0,5.439751E+0
4.292000E+1,1.038794E+0,5.461658E+0
4.379100E+1,1.063117E+0,5.481454E+0
4.466100E+1,1.087412E+0,5.498656E+0
4.553200E+1,1.111683E+0,5.514619E+0
4.640300E+1,1.148141E+0,5.521908E+0
4.727700E+1,1.160368E+0,5.540696E+0
4.815200E+1,1.184553E+0,5.552185E+0
4.902300E+1,1.210066E+0,5.562666E+0
4.994100E+1,1.234173E+0,5.571236E+0
5.081100E+1,1.258242E+0,5.579669E+0
5.168200E+1,1.282280E+0,5.586611E+0
5.255300E+1,1.306280E+0,5.592912E+0
5.342300E+1,1.330238E+0,5.599139E+0
5.429400E+1,1.354161E+0,5.604243E+0
5.516500E+1,1.378032E+0,5.608696E+0
5.603600E+1,1.401848E+0,5.613086E+0
