Gauge Reading,Carbon_Resistance,Carbon_STDV,Sample_Resistance,Sample_STDV,Gauge Number
4.207000E+0,1.627506E+3,3.157284E-2,5.934890E+0,1.345895E-4,2.000000E+0
4.180000E+0,1.645952E+3,3.406791E-2,5.934740E+0,1.194802E-4,2.000000E+0
4.162000E+0,1.658561E+3,2.501222E-2,5.934712E+0,1.173572E-4,2.000000E+0
4.151000E+0,1.668378E+3,5.911204E-2,5.934480E+0,1.312211E-4,2.000000E+0
4.138000E+0,1.676938E+3,9.232936E-2,5.934379E+0,1.683127E-4,2.000000E+0
4.128000E+0,1.684730E+3,3.700285E-2,5.934408E+0,2.012486E-4,2.000000E+0
4.128000E+0,1.692630E+3,7.532043E-2,5.934214E+0,2.344568E-4,2.000000E+0
4.128000E+0,1.692951E+3,1.793321E-2,5.934315E+0,1.353923E-4,2.000000E+0
4.128000E+0,1.692132E+3,2.346274E-2,5.934242E+0,1.868732E-4,2.000000E+0
