Time,Outer_Coil_Voltage,Resistance
0.000000E+0,-3.249066E-4,1.501112E+0
1.241000E+0,-3.158357E-4,1.500650E+0
2.116000E+0,-3.200087E-4,1.500282E+0
2.987000E+0,-3.228928E-4,1.499558E+0
3.858000E+0,-3.254947E-4,1.499831E+0
4.729000E+0,-3.274869E-4,1.499201E+0
5.600000E+0,-3.037656E-4,1.498024E+0
6.470000E+0,-2.301127E-4,1.494979E+0
7.342000E+0,1.772635E-2,1.487491E+0
8.259000E+0,3.645691E-2,1.480959E+0
9.130000E+0,5.511684E-2,1.476107E+0
1.000000E+1,7.372435E-2,1.471748E+0
1.087100E+1,9.228493E-2,1.469354E+0
1.174200E+1,1.108168E-1,1.468020E+0
1.261200E+1,1.737595E-1,1.475141E+0
1.354900E+1,2.040195E-1,1.481137E+0
1.441900E+1,2.292697E-1,1.489885E+0
1.529000E+1,2.544842E-1,1.504788E+0
1.616100E+1,2.796569E-1,1.530560E+0
1.703100E+1,3.047978E-1,1.583931E+0
1.790200E+1,3.299094E-1,1.711540E+0
1.877200E+1,3.549853E-1,2.038709E+0
1.964300E+1,3.800353E-1,2.726297E+0
2.051300E+1,4.050492E-1,3.556899E+0
2.138400E+1,4.300503E-1,4.158484E+0
2.225400E+1,4.550179E-1,4.502616E+0
2.312500E+1,4.799648E-1,4.709663E+0
2.399500E+1,5.048735E-1,4.860986E+0
2.486700E+1,5.297645E-1,4.979743E+0
2.573800E+1,5.546233E-1,5.078010E+0
2.660800E+1,5.794661E-1,5.160345E+0
2.747900E+1,6.042901E-1,5.230268E+0
2.834900E+1,6.290911E-1,5.288680E+0
2.922000E+1,6.538849E-1,5.337787E+0
3.009100E+1,6.786658E-1,5.379165E+0
3.096200E+1,7.034251E-1,5.413758E+0
3.183300E+1,7.281766E-1,5.442975E+0
3.270300E+1,7.529181E-1,5.467833E+0
3.357400E+1,7.776363E-1,5.489803E+0
3.444500E+1,8.023321E-1,5.508119E+0
3.531600E+1,8.270087E-1,5.523420E+0
3.618700E+1,8.516621E-1,5.535172E+0
3.705800E+1,8.762819E-1,5.539415E+0
3.792900E+1,9.008728E-1,5.543615E+0
3.879900E+1,9.254692E-1,5.552122E+0
3.967000E+1,9.500522E-1,5.562508E+0
4.054100E+1,9.745916E-1,5.572149E+0
4.141100E+1,9.991074E-1,5.580467E+0
4.228300E+1,1.023606E+0,5.588196E+0
4.315300E+1,1.048072E+0,5.595285E+0
4.402300E+1,1.072522E+0,5.601051E+0
4.489300E+1,1.096946E+0,5.606260E+0
4.576300E+1,1.121344E+0,5.611605E+0
4.663400E+1,1.145729E+0,5.615270E+0
4.750400E+1,1.170084E+0,5.619261E+0
4.837500E+1,1.194409E+0,5.622989E+0
4.924500E+1,1.220089E+0,5.625783E+0
5.016300E+1,1.244364E+0,5.629060E+0
5.103400E+1,1.268614E+0,5.631360E+0
5.190400E+1,1.292823E+0,5.633859E+0
5.277500E+1,1.316999E+0,5.635571E+0
5.364600E+1,1.341143E+0,5.637955E+0
5.451600E+1,1.365237E+0,5.640265E+0
5.538700E+1,1.389285E+0,5.641462E+0
5.625800E+1,1.413277E+0,5.643174E+0
