Time,Outer_Coil_Voltage,Resistance
0.000000E+0,-3.469157E-4,1.658915E+0
1.131000E+0,-3.475168E-4,1.657812E+0
2.006000E+0,-3.481982E-4,1.658432E+0
2.876000E+0,-3.487690E-4,1.656520E+0
3.747000E+0,-3.479292E-4,1.655848E+0
4.618000E+0,-3.026914E-4,1.653328E+0
5.489000E+0,9.501661E-3,1.640158E+0
6.359000E+0,2.908336E-2,1.632723E+0
7.277000E+0,4.759387E-2,1.628785E+0
8.148000E+0,6.605502E-2,1.628522E+0
9.018000E+0,8.447513E-2,1.633448E+0
9.889000E+0,1.028644E-1,1.643908E+0
1.075900E+1,1.642163E-1,1.837239E+0
1.173500E+1,1.941001E-1,2.101733E+0
1.260500E+1,2.192095E-1,2.618588E+0
1.347600E+1,2.442884E-1,3.338038E+0
1.434600E+1,2.693295E-1,3.995893E+0
1.521700E+1,2.943456E-1,4.454654E+0
1.608800E+1,3.193215E-1,4.756565E+0
1.695800E+1,3.442683E-1,4.971971E+0
1.782900E+1,3.691932E-1,5.110492E+0
1.870000E+1,3.940795E-1,5.212887E+0
1.957100E+1,4.189402E-1,5.289835E+0
2.044100E+1,4.437604E-1,5.349623E+0
2.131200E+1,4.685550E-1,5.397029E+0
2.218300E+1,4.933162E-1,5.431906E+0
2.305300E+1,5.180467E-1,5.461427E+0
2.392400E+1,5.427469E-1,5.485844E+0
2.479500E+1,5.674159E-1,5.508959E+0
2.566600E+1,5.920473E-1,5.527757E+0
2.653700E+1,6.166573E-1,5.543069E+0
2.740700E+1,6.412327E-1,5.556113E+0
2.827800E+1,6.657794E-1,5.567696E+0
2.914900E+1,6.903045E-1,5.576581E+0
3.002000E+1,7.148069E-1,5.584269E+0
3.089100E+1,7.392673E-1,5.591662E+0
3.176200E+1,7.636660E-1,5.597449E+0
3.263300E+1,7.880278E-1,5.602343E+0
3.350300E+1,8.123547E-1,5.607446E+0
3.437400E+1,8.366384E-1,5.611301E+0
3.524500E+1,8.608700E-1,5.613580E+0
3.611500E+1,8.850484E-1,5.614063E+0
3.698700E+1,9.092149E-1,5.616247E+0
3.785700E+1,9.333509E-1,5.619860E+0
3.872800E+1,9.574074E-1,5.622422E+0
3.959900E+1,9.814176E-1,5.625436E+0
4.046900E+1,1.005381E+0,5.628293E+0
4.133900E+1,1.029293E+0,5.630257E+0
4.221000E+1,1.053155E+0,5.632693E+0
4.308000E+1,1.076951E+0,5.634972E+0
4.395100E+1,1.100690E+0,5.636442E+0
4.482100E+1,1.124367E+0,5.638165E+0
4.569100E+1,1.147973E+0,5.639803E+0
4.656200E+1,1.171525E+0,5.641179E+0
4.743200E+1,1.195012E+0,5.642450E+0
4.830300E+1,1.219753E+0,5.644256E+0
4.922000E+1,1.243074E+0,5.645233E+0
5.009100E+1,1.266322E+0,5.645978E+0
5.096200E+1,1.289480E+0,5.647186E+0
5.183200E+1,1.312553E+0,5.648488E+0
5.270300E+1,1.335529E+0,5.649202E+0
5.357400E+1,1.358417E+0,5.649938E+0
5.444500E+1,1.381199E+0,5.650652E+0
5.531600E+1,1.373034E+0,5.650137E+0
5.618700E+1,1.344977E+0,5.648688E+0
5.705700E+1,1.317720E+0,5.647785E+0
5.792800E+1,1.298316E+0,5.646965E+0
5.879900E+1,1.276926E+0,5.646020E+0
5.966900E+1,1.252911E+0,5.644813E+0
