Time,Outer_Coil_Voltage,Resistance
0.000000E+0,-3.369528E-4,7.810750E-1
8.710000E-1,-3.371395E-4,7.804870E-1
1.741000E+0,-3.373651E-4,7.824400E-1
2.612000E+0,-3.376538E-4,7.821670E-1
3.483000E+0,-3.377232E-4,7.820510E-1
4.354000E+0,-3.027153E-4,7.816630E-1
5.225000E+0,1.641155E-3,7.809070E-1
6.096000E+0,2.073981E-2,7.804870E-1
7.014000E+0,3.885440E-2,7.815260E-1
7.884000E+0,5.692463E-2,7.798460E-1
8.755000E+0,7.495702E-2,7.798460E-1
9.625000E+0,9.296082E-2,7.813900E-1
1.049500E+1,1.109470E-1,7.794570E-1
1.136600E+1,1.719656E-1,7.826920E-1
1.230200E+1,2.130756E-1,7.838790E-1
1.317700E+1,2.253748E-1,7.856220E-1
1.405200E+1,2.497155E-1,7.888040E-1
1.492300E+1,2.740324E-1,7.915870E-1
1.579400E+1,2.983403E-1,7.932150E-1
1.666500E+1,3.226318E-1,7.965130E-1
1.753600E+1,3.469085E-1,7.995900E-1
1.840700E+1,3.711717E-1,8.030240E-1
1.927800E+1,3.954149E-1,8.070880E-1
2.014900E+1,4.196480E-1,8.130950E-1
2.101900E+1,4.438604E-1,8.176010E-1
2.189000E+1,4.680540E-1,8.199740E-1
2.276000E+1,4.922285E-1,8.194910E-1
2.363100E+1,5.163865E-1,8.245950E-1
2.450100E+1,5.405313E-1,8.307600E-1
2.537200E+1,5.646538E-1,8.364940E-1
2.624200E+1,5.887580E-1,8.449900E-1
2.711300E+1,6.128456E-1,8.516900E-1
2.798300E+1,6.369110E-1,8.614360E-1
2.885400E+1,6.609557E-1,8.742380E-1
2.972400E+1,6.849730E-1,8.887200E-1
3.059500E+1,7.089607E-1,9.121290E-1
3.146600E+1,7.329237E-1,9.472160E-1
3.233600E+1,7.568508E-1,9.958820E-1
3.320600E+1,7.807456E-1,1.060554E+0
3.407700E+1,8.046094E-1,1.133196E+0
3.494900E+1,8.284373E-1,1.198707E+0
3.581900E+1,8.522278E-1,1.249516E+0
3.669000E+1,8.759851E-1,1.285454E+0
3.756100E+1,8.997008E-1,1.306521E+0
3.843200E+1,9.233669E-1,1.320068E+0
3.930300E+1,9.469834E-1,1.330497E+0
4.017400E+1,9.705555E-1,1.336535E+0
4.104500E+1,9.940940E-1,1.341912E+0
4.191500E+1,1.017595E+0,1.348256E+0
4.278600E+1,1.041018E+0,1.353213E+0
4.365700E+1,1.064388E+0,1.358401E+0
4.452700E+1,1.087692E+0,1.364807E+0
4.539800E+1,1.110936E+0,1.374994E+0
4.626900E+1,1.134112E+0,1.398875E+0
4.713900E+1,1.157229E+0,1.445178E+0
4.800900E+1,1.180263E+0,1.527735E+0
4.888000E+1,1.204541E+0,1.661320E+0
4.979700E+1,1.227442E+0,1.839738E+0
5.066800E+1,1.250262E+0,2.082387E+0
5.153900E+1,1.272995E+0,2.373987E+0
5.241100E+1,1.295644E+0,2.678702E+0
5.328200E+1,1.318203E+0,2.964188E+0
5.415300E+1,1.340655E+0,3.195379E+0
5.502400E+1,1.363001E+0,3.373009E+0
5.589500E+1,1.385223E+0,3.504568E+0
5.676500E+1,1.395225E+0,3.502499E+0
5.763600E+1,1.394198E+0,3.498235E+0
5.850700E+1,1.393131E+0,3.492900E+0
5.937800E+1,1.392110E+0,3.491650E+0
6.024800E+1,1.391110E+0,3.486158E+0
6.111900E+1,1.390123E+0,3.482419E+0
6.198900E+1,1.389275E+0,3.478019E+0
6.286000E+1,1.388377E+0,3.476286E+0
6.373000E+1,1.387460E+0,3.418357E+0
6.460100E+1,1.364665E+0,3.219701E+0
6.547200E+1,1.338326E+0,2.957414E+0
6.634300E+1,1.312224E+0,2.628523E+0
6.721300E+1,1.286325E+0,2.293373E+0
6.808400E+1,1.260603E+0,1.993760E+0
6.895500E+1,1.235021E+0,1.761362E+0
6.982600E+1,1.209574E+0,1.594748E+0
7.069700E+1,1.184242E+0,1.484792E+0
7.156800E+1,1.159028E+0,1.418283E+0
7.243800E+1,1.133898E+0,1.383542E+0
7.330900E+1,1.108858E+0,1.367212E+0
7.418000E+1,1.083905E+0,1.358695E+0
7.505100E+1,1.059018E+0,1.352288E+0
7.592200E+1,1.034202E+0,1.347920E+0
7.679300E+1,1.009450E+0,1.341776E+0
7.766400E+1,9.833682E-1,1.334361E+0
7.858100E+1,9.587476E-1,1.327787E+0
7.945200E+1,9.341595E-1,1.316540E+0
8.032300E+1,9.096159E-1,1.301385E+0
8.119300E+1,8.851203E-1,1.278134E+0
8.206400E+1,8.606597E-1,1.239602E+0
8.293500E+1,8.362256E-1,1.186031E+0
8.380500E+1,8.118324E-1,1.117159E+0
8.467600E+1,7.874611E-1,1.042669E+0
8.554700E+1,7.631172E-1,9.778190E-1
8.641700E+1,7.387968E-1,9.312640E-1
8.728900E+1,7.144905E-1,8.990230E-1
8.816000E+1,6.902038E-1,8.780400E-1
8.903100E+1,6.659217E-1,8.669710E-1
8.990200E+1,6.416503E-1,8.541270E-1
9.077300E+1,6.173966E-1,8.452840E-1
9.164300E+1,5.931602E-1,8.400540E-1
9.251400E+1,5.689187E-1,8.322720E-1
9.338500E+1,5.446841E-1,8.265800E-1
9.425600E+1,5.204628E-1,8.227780E-1
9.512700E+1,4.962354E-1,8.215390E-1
9.599800E+1,4.720109E-1,8.167820E-1
9.686900E+1,4.477889E-1,8.139360E-1
