Time,Outer_Coil_Voltage,Resistance
0.000000E+0,-3.381529E-4,7.742910E-1
8.700000E-1,-3.385478E-4,7.736710E-1
1.741000E+0,-3.387800E-4,7.764430E-1
2.612000E+0,-2.957189E-4,7.751410E-1
3.483000E+0,6.389219E-3,7.752460E-1
4.353000E+0,2.560690E-2,7.758340E-1
5.272000E+0,4.377760E-2,7.741010E-1
6.142000E+0,6.190439E-2,7.756140E-1
7.013000E+0,7.999640E-2,7.754670E-1
7.883000E+0,9.806402E-2,7.736290E-1
8.754000E+0,1.161116E-1,7.740910E-1
9.624000E+0,1.790546E-1,7.771260E-1
1.056000E+1,2.082761E-1,7.787010E-1
1.143100E+1,2.327484E-1,7.826820E-1
1.230200E+1,2.572007E-1,7.850130E-1
1.317200E+1,2.816404E-1,7.871870E-1
1.404300E+1,3.060615E-1,7.908420E-1
1.491400E+1,3.304648E-1,7.928900E-1
1.578400E+1,3.548603E-1,7.954310E-1
1.665600E+1,3.792384E-1,7.996420E-1
1.752600E+1,4.035978E-1,8.029400E-1
1.839700E+1,4.279375E-1,8.084320E-1
1.926800E+1,4.522669E-1,8.123180E-1
2.013900E+1,4.765720E-1,8.171280E-1
2.100900E+1,5.008622E-1,8.166560E-1
2.188000E+1,5.251195E-1,8.177270E-1
2.275200E+1,5.493647E-1,8.241010E-1
2.362200E+1,5.735860E-1,8.293210E-1
2.449300E+1,5.977862E-1,8.321770E-1
2.536300E+1,6.219737E-1,8.392450E-1
2.623400E+1,6.461325E-1,8.480670E-1
2.710400E+1,6.702692E-1,8.530550E-1
2.797500E+1,6.943867E-1,8.626330E-1
2.884500E+1,7.184782E-1,8.759080E-1
2.971600E+1,7.425405E-1,8.894130E-1
3.058600E+1,7.665698E-1,9.116250E-1
3.145700E+1,7.905678E-1,9.434880E-1
3.232700E+1,8.145332E-1,9.879110E-1
3.319800E+1,8.384656E-1,1.049747E+0
3.406900E+1,8.623642E-1,1.120257E+0
3.494000E+1,8.862245E-1,1.185643E+0
3.581100E+1,9.100405E-1,1.238121E+0
3.668100E+1,9.338019E-1,1.276958E+0
3.755200E+1,9.575136E-1,1.299505E+0
3.842300E+1,9.812011E-1,1.315951E+0
3.929400E+1,1.004859E+0,1.327126E+0
4.016500E+1,1.028455E+0,1.335055E+0
4.103600E+1,1.051987E+0,1.341387E+0
4.190700E+1,1.075460E+0,1.347783E+0
4.277700E+1,1.098879E+0,1.351963E+0
4.364800E+1,1.122232E+0,1.357812E+0
4.451900E+1,1.145522E+0,1.364481E+0
4.538900E+1,1.168743E+0,1.376600E+0
4.626000E+1,1.191892E+0,1.401343E+0
4.713000E+1,1.216287E+0,1.451553E+0
4.804700E+1,1.239296E+0,1.533028E+0
4.891800E+1,1.262223E+0,1.650345E+0
4.978900E+1,1.285069E+0,1.812748E+0
5.066000E+1,1.307836E+0,2.023250E+0
5.153100E+1,1.330512E+0,2.284888E+0
5.240200E+1,1.353089E+0,2.576707E+0
5.327200E+1,1.375558E+0,2.852877E+0
5.414400E+1,1.397898E+0,3.040422E+0
5.501400E+1,1.402875E+0,3.030676E+0
5.588500E+1,1.401861E+0,3.023461E+0
5.675700E+1,1.400866E+0,3.011310E+0
5.762800E+1,1.399846E+0,3.006007E+0
5.849900E+1,1.398854E+0,2.997364E+0
5.937000E+1,1.397921E+0,2.989424E+0
6.024100E+1,1.396996E+0,2.980518E+0
6.111100E+1,1.396071E+0,2.963537E+0
6.198200E+1,1.395195E+0,2.943814E+0
6.285300E+1,1.394270E+0,2.922663E+0
6.372400E+1,1.393335E+0,2.915217E+0
6.459400E+1,1.387785E+0,2.686778E+0
6.546500E+1,1.361271E+0,2.341746E+0
6.633600E+1,1.335011E+0,2.028669E+0
6.720700E+1,1.308968E+0,1.783878E+0
6.807700E+1,1.283103E+0,1.610112E+0
6.894800E+1,1.257392E+0,1.493393E+0
6.981900E+1,1.231817E+0,1.420877E+0
