Time,Outer_Coil_Voltage,Resistance
0.000000E+0,-3.407895E-4,7.930370E-1
8.700000E-1,-3.406528E-4,7.923120E-1
1.745000E+0,-3.407852E-4,7.919550E-1
2.615000E+0,-3.408633E-4,7.921230E-1
3.486000E+0,-3.410348E-4,7.923750E-1
4.357000E+0,-3.410456E-4,7.924380E-1
5.227000E+0,-2.985899E-4,7.923960E-1
6.098000E+0,6.022674E-3,7.928270E-1
6.969000E+0,2.521339E-2,7.929630E-1
7.887000E+0,4.336928E-2,7.921860E-1
8.757000E+0,6.148011E-2,7.913670E-1
9.628000E+0,7.955895E-2,7.921330E-1
1.049800E+1,9.760861E-2,7.913250E-1
1.136900E+1,1.156362E-1,7.909780E-1
1.223900E+1,1.784652E-1,7.944960E-1
1.317500E+1,2.076861E-1,7.963030E-1
1.404500E+1,2.321423E-1,7.982980E-1
1.491600E+1,2.565856E-1,8.013230E-1
1.578600E+1,2.810062E-1,8.043890E-1
1.665700E+1,3.054161E-1,8.074980E-1
1.752700E+1,3.298096E-1,8.109740E-1
1.839800E+1,3.541944E-1,8.175170E-1
1.926900E+1,3.785594E-1,8.205100E-1
2.014000E+1,4.029179E-1,8.241220E-1
2.101000E+1,4.272612E-1,8.329550E-1
2.188100E+1,4.515862E-1,8.368820E-1
2.275200E+1,4.758915E-1,8.447380E-1
2.362300E+1,5.001785E-1,8.591260E-1
2.449500E+1,5.244457E-1,8.740380E-1
2.536600E+1,5.486955E-1,8.940340E-1
2.623700E+1,5.729300E-1,9.264750E-1
2.710700E+1,5.971369E-1,9.722110E-1
2.797800E+1,6.213276E-1,1.035590E+0
2.884900E+1,6.454923E-1,1.110837E+0
2.971900E+1,6.696348E-1,1.182177E+0
3.059000E+1,6.937452E-1,1.238783E+0
3.146100E+1,7.178318E-1,1.280003E+0
3.233100E+1,7.418980E-1,1.304746E+0
3.320200E+1,7.659214E-1,1.320488E+0
3.407200E+1,7.899191E-1,1.330948E+0
3.494300E+1,8.138792E-1,1.338310E+0
3.581300E+1,8.378041E-1,1.344506E+0
3.668400E+1,8.616971E-1,1.349579E+0
3.755400E+1,8.855486E-1,1.354189E+0
3.842500E+1,9.093509E-1,1.358264E+0
3.929600E+1,9.331052E-1,1.363053E+0
4.016600E+1,9.568139E-1,1.366802E+0
4.103700E+1,9.805011E-1,1.377367E+0
4.190900E+1,1.004145E+0,1.398466E+0
4.277900E+1,1.027708E+0,1.444181E+0
4.365000E+1,1.051223E+0,1.544160E+0
4.452000E+1,1.074680E+0,1.718178E+0
4.539100E+1,1.098084E+0,1.969280E+0
4.626100E+1,1.121425E+0,2.286211E+0
4.713200E+1,1.144709E+0,2.634625E+0
4.800300E+1,1.167925E+0,2.975120E+0
4.887400E+1,1.191073E+0,3.248981E+0
4.974400E+1,1.215462E+0,3.458075E+0
5.066200E+1,1.238462E+0,3.598560E+0
5.153300E+1,1.261375E+0,3.714334E+0
5.240300E+1,1.284211E+0,3.810333E+0
5.327400E+1,1.306959E+0,3.906332E+0
5.414500E+1,1.329622E+0,3.990179E+0
5.501500E+1,1.352192E+0,4.073849E+0
5.588600E+1,1.374661E+0,4.157392E+0
5.675700E+1,1.396991E+0,4.221751E+0
5.762800E+1,1.403787E+0,4.221678E+0
5.849900E+1,1.402596E+0,4.219808E+0
5.937100E+1,1.401735E+0,4.216143E+0
6.024200E+1,1.400772E+0,4.213171E+0
6.111300E+1,1.399812E+0,4.212058E+0
6.198400E+1,1.398821E+0,4.211869E+0
6.285500E+1,1.397899E+0,4.208739E+0
6.372600E+1,1.396810E+0,4.207868E+0
6.459700E+1,1.396029E+0,4.205725E+0
6.546800E+1,1.395094E+0,4.201955E+0
6.633900E+1,1.394183E+0,4.197901E+0
6.721000E+1,1.393278E+0,4.192206E+0
6.808000E+1,1.392372E+0,4.188499E+0
6.895100E+1,1.391432E+0,4.184403E+0
6.982200E+1,1.390600E+0,4.181788E+0
7.069200E+1,1.389724E+0,4.178816E+0
7.156300E+1,1.388856E+0,4.174668E+0
7.243400E+1,1.387960E+0,4.171738E+0
7.330400E+1,1.387089E+0,4.166161E+0
7.417500E+1,1.386276E+0,4.162118E+0
7.504600E+1,1.385439E+0,4.162622E+0
7.591700E+1,1.384592E+0,4.159997E+0
7.678900E+1,1.383713E+0,4.156636E+0
7.765900E+1,1.382909E+0,4.153937E+0
7.853000E+1,1.382151E+0,4.151269E+0
7.940000E+1,1.381217E+0,4.149873E+0
8.027100E+1,1.380434E+0,4.145115E+0
8.114200E+1,1.379588E+0,4.143067E+0
8.201300E+1,1.378764E+0,4.138510E+0
8.288400E+1,1.377880E+0,4.135643E+0
8.375500E+1,1.374528E+0,4.081809E+0
8.462600E+1,1.348648E+0,3.985181E+0
8.549700E+1,1.322834E+0,3.884834E+0
8.636800E+1,1.297222E+0,3.779793E+0
8.723900E+1,1.271779E+0,3.661089E+0
8.811000E+1,1.246482E+0,3.520552E+0
8.898100E+1,1.221300E+0,3.328470E+0
8.985200E+1,1.196236E+0,3.064030E+0
9.072300E+1,1.171260E+0,2.716456E+0
