Time,Outer_Coil_Voltage,Resistance
1.152290E+2,3.193478E-1,1.397772E+0
1.161000E+2,2.944021E-1,1.389255E+0
1.169700E+2,2.694600E-1,1.383679E+0
1.178410E+2,2.445208E-1,1.375361E+0
1.187120E+2,2.195700E-1,1.366592E+0
1.195820E+2,1.946275E-1,1.358684E+0
1.204530E+2,1.696772E-1,1.350850E+0
1.213240E+2,1.447246E-1,1.343141E+0
1.221940E+2,1.197802E-1,1.335244E+0
1.230650E+2,6.926647E-2,1.322211E+0
1.240020E+2,4.962544E-2,1.317842E+0
1.248720E+2,3.132039E-2,1.314712E+0
1.257430E+2,1.301886E-2,1.310890E+0
1.266140E+2,-2.209332E-4,1.300640E+0
1.275530E+2,-2.802331E-4,1.287250E+0
1.284230E+2,-3.030430E-4,1.265531E+0
1.292940E+2,-3.092820E-4,1.234845E+0
1.301650E+2,-3.137090E-4,1.212801E+0
1.310360E+2,-3.169967E-4,1.207645E+0
1.319070E+2,-3.196876E-4,1.199537E+0
